exp_id,left_feature,right_feature,left_value,right_value,count,y_mean,pred_mean,residual_mean,residual_median,residual_mae,notes
v56_20260617_150011,mean_working_group,sleep_pattern,10,normal,186,0.4762903225806452,0.48182795698924735,-0.5537634408602152,0.0,14.413978494623656,
v56_20260617_150011,mean_working_group,sleep_pattern,10,oversleeping,45,0.48444444444444446,0.40444444444444444,8.0,0.0,12.88888888888889,
v56_20260617_150011,mean_working_group,sleep_pattern,10,sleep difficulty,115,0.4473913043478261,0.4647826086956522,-1.7391304347826086,0.0,13.234782608695653,
v56_20260617_150011,mean_working_group,sleep_pattern,11,normal,62,0.5766129032258065,0.5003225806451613,7.629032258064516,0.0,11.17741935483871,
v56_20260617_150011,mean_working_group,sleep_pattern,11,oversleeping,16,0.65,0.565,8.5,0.5,12.0,small_n
v56_20260617_150011,mean_working_group,sleep_pattern,11,sleep difficulty,42,0.6052380952380952,0.5092857142857143,9.595238095238095,0.5,17.452380952380953,
v56_20260617_150011,mean_working_group,sleep_pattern,7,normal,164,0.4560365853658537,0.4648780487804878,-0.8841463414634146,0.0,11.53048780487805,
v56_20260617_150011,mean_working_group,sleep_pattern,7,oversleeping,44,0.5002272727272727,0.5075,-0.7272727272727273,0.0,16.09090909090909,
v56_20260617_150011,mean_working_group,sleep_pattern,7,sleep difficulty,110,0.4663636363636363,0.4819090909090909,-1.5545454545454545,0.0,16.045454545454547,
v56_20260617_150011,mean_working_group,sleep_pattern,8,normal,228,0.4848245614035088,0.4644736842105263,2.0350877192982457,0.0,14.219298245614034,
v56_20260617_150011,mean_working_group,sleep_pattern,8,oversleeping,58,0.4317241379310345,0.45448275862068965,-2.2758620689655173,0.0,13.827586206896552,
v56_20260617_150011,mean_working_group,sleep_pattern,8,sleep difficulty,165,0.4966666666666667,0.48527272727272724,1.1393939393939396,0.0,15.915151515151516,
v56_20260617_150011,mean_working_group,sleep_pattern,9,normal,278,0.4639928057553957,0.4703597122302158,-0.6366906474820144,0.0,14.377697841726619,
v56_20260617_150011,mean_working_group,sleep_pattern,9,oversleeping,83,0.41542168674698793,0.43927710843373496,-2.3855421686746987,0.0,14.843373493975903,
v56_20260617_150011,mean_working_group,sleep_pattern,9,sleep difficulty,176,0.47806818181818184,0.48482954545454543,-0.6761363636363634,0.0,12.835227272727273,
v56_20260617_150011,mean_working_group,sleep_pattern,<=6,normal,57,0.32456140350877194,0.4021052631578947,-7.754385964912281,0.0,9.228070175438596,
v56_20260617_150011,mean_working_group,sleep_pattern,<=6,oversleeping,13,0.27153846153846156,0.38153846153846155,-11.0,-1.0,11.0,small_n
v56_20260617_150011,mean_working_group,sleep_pattern,<=6,sleep difficulty,49,0.3073469387755102,0.38938775510204077,-8.204081632653061,0.0,11.26530612244898,
v56_20260617_150011,mean_working_group,sleep_pattern,>=12,normal,44,0.7456818181818182,0.6195454545454545,12.613636363636363,1.5,13.295454545454545,
v56_20260617_150011,mean_working_group,sleep_pattern,>=12,oversleeping,7,0.6528571428571429,0.55,10.285714285714286,0.0,11.428571428571429,small_n
v56_20260617_150011,mean_working_group,sleep_pattern,>=12,sleep difficulty,26,0.7053846153846154,0.5611538461538461,14.423076923076923,5.0000000000000036,14.73076923076923,small_n
v56_20260617_150011,mean_working_group,sleep_pattern,missing,normal,538,0.4958364312267658,0.48849442379182156,0.7342007434944239,0.0,12.87918215613383,
v56_20260617_150011,mean_working_group,sleep_pattern,missing,oversleeping,158,0.44518987341772154,0.45012658227848107,-0.49367088607594956,0.0,11.215189873417721,
v56_20260617_150011,mean_working_group,sleep_pattern,missing,sleep difficulty,336,0.5054464285714286,0.4913988095238095,1.4047619047619047,0.0,13.636904761904763,
v56_20260617_150011,mean_working_group,activity,10,intense,73,0.42657534246575346,0.4197260273972603,0.6849315068493149,0.0,16.164383561643834,
v56_20260617_150011,mean_working_group,activity,10,light,106,0.4843396226415095,0.48933962264150943,-0.5000000000000004,0.0,13.19811320754717,
v56_20260617_150011,mean_working_group,activity,10,moderate,167,0.4752095808383234,0.4716167664670659,0.3592814371257485,0.0,13.197604790419161,
v56_20260617_150011,mean_working_group,activity,11,intense,30,0.618,0.48633333333333334,13.166666666666666,14.5,19.033333333333335,
v56_20260617_150011,mean_working_group,activity,11,light,33,0.5675757575757576,0.5230303030303031,4.454545454545454,0.0,13.484848484848484,
v56_20260617_150011,mean_working_group,activity,11,moderate,57,0.6017543859649123,0.5192982456140351,8.24561403508772,0.0,10.56140350877193,
v56_20260617_150011,mean_working_group,activity,7,intense,54,0.4985185185185185,0.4866666666666667,1.1851851851851851,0.0,18.51851851851852,
v56_20260617_150011,mean_working_group,activity,7,light,98,0.4528571428571429,0.47561224489795917,-2.2755102040816326,0.0,13.60204081632653,
v56_20260617_150011,mean_working_group,activity,7,moderate,166,0.4626506024096385,0.4740361445783132,-1.1385542168674698,0.0,12.234939759036145,
v56_20260617_150011,mean_working_group,activity,8,intense,105,0.4645714285714286,0.4443809523809523,2.019047619047619,0.0,15.866666666666667,
